"","FIPS","state","name","population","total_liabilities","revenue","lib_rev_ratio","percapita","state_abv"
"1833","51133","Virginia","Northumberland County",11839,36056790,29681102,121.480631008916,3045.59422248501,"VA"
"1834","20115","Kansas","Marion County",11823,0,22621663,0,0,"KS"
"1835","49023","Utah","Juab County",11786,9247787,13004526,71.1120651379374,784.641693534702,"UT"
"1836","16085","Idaho","Valley County",11746,6213208,21157001,29.367148964071,528.963732334412,"ID"
"1837","19165","Iowa","Shelby County",11746,3680857,13993293,26.3044374186977,313.371105057041,"IA"
"1838","17123","Illinois","Marshall County",11742,2238616,8519149,26.2774603425765,190.650315108159,"IL"
"1839","72054","Puerto Rico","Florida",11692,18775136,10123721,185.456869070177,1605.81046869654,"PR"
"1840","19035","Iowa","Cherokee County",11658,5850532,14067472,41.5890786916086,501.84697203637,"IA"
"1841","48475","Texas","Ward County",11644,22041573,42900460,51.3784071312988,1892.95542768808,"TX"
"1842","29011","Missouri","Barton County",11637,0,5201872,0,0,"MO"
"1843","26071","Michigan","Iron County",11631,6612269,10073481,65.6403580847574,568.503911959419,"MI"
"1844","47087","Tennessee","Jackson County",11617,7601744,10598706,71.7233216960636,654.363777223035,"TN"
"1845","38071","North Dakota","Ramsey County",11605,17086568,14798180,115.463982733012,1472.3453683757,"ND"
"1846","29067","Missouri","Douglas County",11578,0,5976061,0,0,"MO"
"1847","35051","New Mexico","Sierra County",11576,20218190,14148896,142.89588389087,1746.56098825156,"NM"
"1848","08105","Colorado","Rio Grande County",11539,2157504,21821235,9.88717641325067,186.974954502123,"CO"
"1849","51037","Virginia","Charlotte County",11529,27383745,21453667,127.641325839541,2375.20556856622,"VA"
"1850","56003","Wyoming","Big Horn County",11521,7535590,13472697,55.9323051650312,654.07429910598,"WY"
"1851","27033","Minnesota","Cottonwood County",11517,8435846,24724049,34.1200019462832,732.469045758444,"MN"
"1852","28111","Mississippi","Perry County",11511,13104402,11472747,114.222008033473,1138.42428980975,"MS"
"1853","30027","Montana","Fergus County",11446,7327422,13465160,54.4176378149239,640.173160929582,"MT"
"1854","47039","Tennessee","Decatur County",11435,9192046,19470925,47.2090873956938,803.85185832969,"TN"
"1855","05041","Arkansas","Desha County",11395,537016,7435501,7.22232435985147,47.1273365511189,"AR"
"1856","51081","Virginia","Greensville County",11391,68307071,32599764,209.532409498425,5996.58247739443,"VA"
"1857","17185","Illinois","Wabash County",11361,25897,8095345,0.319899893086706,2.27946483584192,"IL"
"1858","27121","Minnesota","Pope County",11308,16350560,22240973,73.5154887333391,1445.92854616201,"MN"
"1859","72037","Puerto Rico","Ceiba",11307,37356294,10621480,351.705167264826,3303.82011143539,"PR"
"1860","21187","Kentucky","Owen County",11278,0,7712871,0,0,"KY"
"1861","27165","Minnesota","Watonwan County",11253,11609102,28070506,41.3569388453489,1031.64507242513,"MN"
"1862","13093","Georgia","Dooly County",11208,12951218,17521559,73.9158998351688,1155.53336902213,"GA"
"1863","37043","North Carolina","Clay County",11089,17125368,27431064,62.4305641224854,1544.35638921454,"NC"
"1864","02185","Alaska","North Slope Borough",11031,439708558,537070747,81.87162686781,39861.1692502946,"AK"
"1865","29063","Missouri","Dekalb County",11029,0,7808118,0,0,"MO"
"1866","37187","North Carolina","Washington County",11003,24830224,27220054,91.2203333615723,2256.67763337272,"NC"
"1867","13043","Georgia","Candler County",10981,4080284,10938615,37.3016510773987,371.576723431381,"GA"
"1868","13191","Georgia","Mcintosh County",10975,11732931,20339923,57.6842449206912,1069.05977220957,"GA"
"1869","40149","Oklahoma","Washita County",10924,0,9364254,0,0,"OK"
"1870","40103","Oklahoma","Noble County",10924,0,8622765,0,0,"OK"
"1871","51103","Virginia","Lancaster County",10919,13434832,27700280,48.5007082960894,1230.40864548036,"VA"
"1872","27075","Minnesota","Lake County",10905,22021794,41525692,53.0317327402997,2019.42173314993,"MN"
"1873","37005","North Carolina","Alleghany County",10888,18959442,19400842,97.7248410146322,1741.31539309331,"NC"
"1874","53043","Washington","Lincoln County",10876,0,26267882,0,0,"WA"
"1875","13099","Georgia","Early County",10854,5327341,11967552,44.5148765595504,490.818223696333,"GA"
"1876","31013","Nebraska","Box Butte County",10842,0,11385479,0,0,"NE"
"1877","19115","Iowa","Louisa County",10837,3972683,16368518,24.2702668622779,366.585125034604,"IA"
"1878","26097","Michigan","Mackinac County",10834,7171610,10847965,66.1101874867775,661.954033597932,"MI"
"1879","51183","Virginia","Sussex County",10829,17237809,25799898,66.8134773246003,1591.81909686952,"VA"
"1880","40127","Oklahoma","Pushmataha County",10812,0,7231486,0,0,"OK"
"1881","19081","Iowa","Hancock County",10795,4049703,16389762,24.7087358559569,375.146178786475,"IA"
"1882","30085","Montana","Roosevelt County",10794,21782694,16407756,132.758519812216,2018.03724291273,"MT"
"1883","13109","Georgia","Evans County",10774,1638566,10171490,16.1093999010961,152.085205123445,"GA"
"1884","31145","Nebraska","Red Willow County",10702,0,7875763,0,0,"NE"
"1885","19189","Iowa","Winnebago County",10679,25141387,16908001,148.695206488337,2354.28289165652,"IA"
"1886","51119","Virginia","Middlesex County",10625,21269083,25880736,82.1811365797325,2001.79604705882,"VA"
"1887","19077","Iowa","Guthrie County",10623,23364826,18899145,123.62901073038,2199.45646239292,"IA"
"1888","51057","Virginia","Essex County",10599,24960944,24808448,100.614693833326,2355.02821020851,"VA"
"1889","31037","Nebraska","Colfax County",10582,0,9377940,0,0,"NE"
"1890","29017","Missouri","Bollinger County",10567,0,7209922,0,0,"MO"
"1891","19131","Iowa","Mitchell County",10565,35665109,17859726,199.695723215463,3375.77936583057,"IA"
"1892","38099","North Dakota","Walsh County",10563,8921312,10919991,81.6970636697411,844.581274259207,"ND"
"1893","31041","Nebraska","Custer County",10545,0,14325574,0,0,"NE"
"1894","05011","Arkansas","Bradley County",10545,433548,7861430,5.51487452028448,41.1140825035562,"AR"
"1895","18025","Indiana","Crawford County",10526,0,28926751,0,0,"IN"
"1896","37073","North Carolina","Gates County",10478,15201711,16143854,94.1640763104027,1450.82181714068,"NC"
"1897","30009","Montana","Carbon County",10473,5770051,15301868,37.7081477895379,550.945383366753,"MT"
"1898","17035","Illinois","Cumberland County",10450,82188,5413905,1.51809091589158,7.86488038277512,"IL"
"1899","01037","Alabama","Coosa County",10387,2696794,8630492,31.247279992844,259.631654953307,"AL"
"1900","48159","Texas","Franklin County",10359,1582955,9792281,16.1653347161913,152.809634134569,"TX"
"1901","37029","North Carolina","Camden County",10355,17692361,17940568,98.616504226622,1708.58145823274,"NC"
"1902","19137","Iowa","Montgomery County",10330,10828091,16527421,65.5159144309327,1048.2179090029,"IA"
"1903","20131","Kansas","Nemaha County",10273,0,17621129,0,0,"KS"
"1904","05017","Arkansas","Chicot County",10208,588463,9369472,6.28064206819765,57.647237460815,"AR"
"1905","26001","Michigan","Alcona County",10167,6377666,9598490,66.4444719950742,627.290842923183,"MI"
"1906","29089","Missouri","Howard County",10151,0,5678413,0,0,"MO"
"1907","31089","Nebraska","Holt County",10127,0,18487352,0,0,"NE"
"1908","20117","Kansas","Marshall County",10038,0,21042866,0,0,"KS"
"1909","19107","Iowa","Keokuk County",10033,4570130,11852593,38.5580606707747,455.509817601914,"IA"
"1910","29111","Missouri","Lewis County",10032,0,6208187,0,0,"MO"
"1911","19069","Iowa","Franklin County",10019,19497924,20085871,97.0728329381384,1946.0948198423,"IA"
"1912","05105","Arkansas","Perry County",10019,822445,6250148,13.1588083994171,82.0885317895998,"AR"
"1913","48357","Texas","Ochiltree County",10015,7652238,10074496,75.9565342028028,764.077683474788,"TX"
"1914","27063","Minnesota","Jackson County",9989,45887409,38167539,120.226271334916,4593.79407348083,"MN"
"1915","08125","Colorado","Yuma County",9988,10395585,18675890,55.6631303782577,1040.80746896276,"CO"
"1916","19025","Iowa","Calhoun County",9927,5755840,16871160,34.116444868047,579.816661629898,"IA"
"1917","48399","Texas","Runnels County",9900,338972,7344006,4.61562803734093,34.239595959596,"TX"
"1918","48403","Texas","Sabine County",9894,950355,7614984,12.4800656179974,96.0536688902365,"TX"
"1919","13173","Georgia","Lanier County",9877,735658,7014213,10.4881046526531,74.4819277108434,"GA"
"1920","13235","Georgia","Pulaski County",9855,4439463,8970086,49.4918666331627,450.478234398782,"GA"
"1921","27151","Minnesota","Swift County",9838,21994055,27385721,80.3121268926971,2235.62258589144,"MN"
"1922","05127","Arkansas","Scott County",9836,1291728,7599036,16.9985771879486,131.32655551037,"AR"
"1923","48131","Texas","Duval County",9831,2510498,11447684,21.9301825591971,255.365476553759,"TX"
"1924","49015","Utah","Emery County",9825,7817475,35109186,22.2661812780279,795.671755725191,"UT"
"1925","19161","Iowa","Sac County",9814,1875886,13914183,13.4818264212854,191.143876095374,"IA"
"1926","38061","North Dakota","Mountrail County",9809,0,50926243,0,0,"ND"
"1927","38055","North Dakota","Mclean County",9771,9736917,15521144,62.7332431166156,996.51182069389,"ND"
"1928","19039","Iowa","Clarke County",9748,8743474,11204457,78.0356781234468,896.950553959787,"IA"
"1929","48315","Texas","Marion County",9725,1980802,9043593,21.9028211464182,203.681439588689,"TX"
"1930","27133","Minnesota","Rock County",9704,12761502,19064623,66.9381293299112,1315.0764633141,"MN"
"1931","31179","Nebraska","Wayne County",9697,0,8849989,0,0,"NE"
"1932","51049","Virginia","Cumberland County",9675,31172431,18624776,167.370769989395,3221.95669250646,"VA"
"1933","27149","Minnesota","Stevens County",9671,19007194,19790845,96.0403358219419,1965.38041567573,"MN"
"1934","49019","Utah","Grand County",9669,16499173,36368690,45.3664209516482,1706.39911055952,"UT"
"1935","22021","Louisiana","Caldwell Parish",9645,676898,8927661,7.58203072450892,70.1812337998963,"LA"
"1936","19091","Iowa","Humboldt County",9597,6099347,12790627,47.6860673053792,635.547254350318,"IA"
"1937","13317","Georgia","Wilkes County",9565,5173099,14731193,35.1166331199381,540.83627809723,"GA"
"1938","04011","Arizona","Greenlee County",9563,23141258,21830944,106.002095007893,2419.87430722577,"AZ"
"1939","27173","Minnesota","Yellow Medicine County",9528,15623226,26660879,58.5998158575342,1639.71725440806,"MN"
"1940","20013","Kansas","Brown County",9508,0,12981088,0,0,"KS"
"1941","19089","Iowa","Howard County",9469,11045970,14753124,74.8720745518034,1166.5402893653,"IA"
"1942","31033","Nebraska","Cheyenne County",9468,0,10652257,0,0,"NE"
"1943","40077","Oklahoma","Latimer County",9444,0,8658826,0,0,"OK"
"1944","31081","Nebraska","Hamilton County",9429,0,10113427,0,0,"NE"
"1945","20159","Kansas","Rice County",9427,0,15092528,0,0,"KS"
"1946","27117","Minnesota","Pipestone County",9424,46614519,53428554,87.2464543959022,4946.36237266554,"MN"
"1947","01675","Montana","Anaconda-Deer Lodge County",9421,24001648,23409171,102.530961049411,2547.67519371617,"MT"
"1948","08019","Colorado","Clear Creek County",9397,8950782,32153380,27.8377638680599,952.51484516335,"CO"
"1949","19063","Iowa","Emmet County",9388,3220344,9949681,32.3663040051234,343.027694929697,"IA"
"1950","30001","Montana","Beaverhead County",9371,6660869,11158272,59.6944491046642,710.795966278946,"MT"
"1951","17079","Illinois","Jasper County",9287,0,13386238,0,0,"IL"
"1952","55041","Wisconsin","Forest County",9179,12843664,15004282,85.5999907226484,1399.24436213095,"WI"
"1953","37103","North Carolina","Jones County",9172,27834552,20153669,138.111586530472,3034.73092019189,"NC"
"1954","20151","Kansas","Pratt County",9157,0,19924279,0,0,"KS"
"1955","26119","Michigan","Montmorency County",9153,8594833,6690127,128.470401234536,939.018136130231,"MI"
"1956","19051","Iowa","Davis County",9110,7365131,12977932,56.7511911759131,808.466630076839,"IA"
"1957","32033","Nevada","White Pine County",9080,24577826,33969521,72.3525833643636,2706.809030837,"NV"
"1958","27089","Minnesota","Marshall County",9040,10772129,22845508,47.1520659553729,1191.60719026549,"MN"
"1959","20029","Kansas","Cloud County",9032,0,16165972,0,0,"KS"
"1960","31039","Nebraska","Cuming County",9013,0,10118520,0,0,"NE"
"1961","13287","Georgia","Turner County",9006,9600821,11910970,80.6048625762637,1066.04719076171,"GA"
"1962","19147","Iowa","Palo Alto County",8996,19660716,19298190,101.878549231819,2185.49533125834,"IA"
"1963","48335","Texas","Mitchell County",8990,5505576,7512780,73.2828060984083,612.411123470523,"TX"
"1964","31137","Nebraska","Phelps County",8968,0,9312841,0,0,"NE"
"1965","30095","Montana","Stillwater County",8963,14530229,18736991,77.5483587519469,1621.134553163,"MT"
"1966","51159","Virginia","Richmond County",8923,20904187,17102572,122.228323318855,2342.73080802421,"VA"
"1967","13319","Georgia","Wilkinson County",8877,2015318,9298887,21.6726797518886,227.026923510195,"GA"
"1968","26003","Michigan","Alger County",8842,9355101,7323414,127.742348036039,1058.02997059489,"MI"
"1969","19073","Iowa","Greene County",8771,8829675,15607687,56.5726042558388,1006.68965910386,"IA"
"1970","19133","Iowa","Monona County",8751,5022976,18567755,27.052144968522,573.988801279854,"IA"
"1971","35037","New Mexico","Quay County",8746,8030786,13467216,59.632116986911,918.223873770867,"NM"
"1972","16035","Idaho","Clearwater County",8734,3703093,10708629,34.5804584321672,423.985917105564,"ID"
"1973","56035","Wyoming","Sublette County",8728,15828228,52712123,30.027680729156,1813.5,"WY"
"1974","06049","California","Modoc County",8700,35881600,40080651,89.5234960130762,4124.32183908046,"CA"
"1975","19117","Iowa","Lucas County",8634,2232508,9018052,24.7559894309769,258.571693305536,"IA"
"1976","20205","Kansas","Wilson County",8624,0,11546272,0,0,"KS"
"1977","30057","Montana","Madison County",8623,16963102,31635775,53.619998245657,1967.19262437667,"MT"
"1978","48127","Texas","Dimmit County",8615,6675599,32405041,20.6004954599502,774.880905397562,"TX"
"1979","13209","Georgia","Montgomery County",8610,896971,6719302,13.3491693035973,104.177816492451,"GA"
"1980","05077","Arkansas","Lee County",8600,543369,4939975,10.9994281347578,63.1824418604651,"AR"
"1981","48009","Texas","Archer County",8560,4333759,7251019,59.7675857696691,506.280257009346,"TX"
"1982","29153","Missouri","Ozark County",8553,0,10693623,0,0,"MO"
"1983","51115","Virginia","Mathews County",8533,4418565,20293089,21.7737427751881,517.82081331302,"VA"
"1984","27029","Minnesota","Clearwater County",8524,6366077,23629889,26.9407824979626,746.841506335054,"MN"
"1985","40075","Oklahoma","Kiowa County",8509,0,6361289,0,0,"OK"
"1986","29033","Missouri","Carroll County",8495,0,6919909,0,0,"MO"
"1987","05097","Arkansas","Montgomery County",8484,633746,10109694,6.26869616429538,74.6989627534182,"AR"
"1988","56019","Wyoming","Johnson County",8447,5333998,11835409,45.0681341050402,631.46655617379,"WY"
"1989","29125","Missouri","Maries County",8432,0,5273804,0,0,"MO"
"1990","31107","Nebraska","Knox County",8391,0,8969514,0,0,"NE"
"1991","31027","Nebraska","Cedar County",8380,0,12581297,0,0,"NE"
"1992","31023","Nebraska","Butler County",8369,0,10686579,0,0,"NE"
"1993","47135","Tennessee","Perry County",8366,503262,11072671,4.54508221187101,60.1556299306718,"TN"
"1994","20031","Kansas","Coffey County",8360,0,43220104,0,0,"KS"
"1995","38057","North Dakota","Mercer County",8350,20622243,11058877,186.47682762002,2469.7297005988,"ND"
"1996","31101","Nebraska","Keith County",8335,0,8780149,0,0,"NE"
"1997","30087","Montana","Rosebud County",8329,13740948,14097898,97.4680622600617,1649.77164125345,"MT"
"1998","13003","Georgia","Atkinson County",8286,5820552,8609700,67.6045855256281,702.456191165822,"GA"
"1999","47083","Tennessee","Houston County",8283,14868726,10122074,146.894065386204,1795.08946034046,"TN"
"2000","05117","Arkansas","Prairie County",8282,242011,6290742,3.84709784632719,29.2213233518474,"AR"
"2001","29085","Missouri","Hickory County",8279,0,4804468,0,0,"MO"
"2002","12067","Florida","Lafayette County",8226,10170622,19233018,52.8810507014552,1236.39946511062,"FL"
"2003","26135","Michigan","Oscoda County",8219,4385132,9331492,46.9928281565263,533.535953278988,"MI"
"2004","31045","Nebraska","Dawes County",8199,0,7631940,0,0,"NE"
"2005","27101","Minnesota","Murray County",8179,22263738,22054068,100.95070895764,2722.06113216775,"MN"
"2006","41037","Oregon","Lake County",8160,9718683,16889480,57.5428195539472,1191.01507352941,"OR"
"2007","26013","Michigan","Baraga County",8158,5221429,4999340,104.442366392364,640.03787693062,"MI"
"2008","29081","Missouri","Harrison County",8157,0,5927560,0,0,"MO"
"2009","20027","Kansas","Clay County",8117,17103968,13630415,125.483838899989,2107.1785142294,"KS"
"2010","08113","Colorado","San Miguel County",8072,6770321,28730242,23.5651373907675,838.741451932607,"CO"
"2011","26153","Michigan","Schoolcraft County",8047,7553214,6051426,124.817092698481,938.637256120293,"MI"
"2012","37075","North Carolina","Graham County",8030,7041608,16937834,41.5732495666211,876.912577833126,"NC"
"2013","13289","Georgia","Twiggs County",8022,2147314,12168091,17.64709024612,267.678135128397,"GA"
"2014","38097","North Dakota","Traill County",7997,9745119,12291053,79.2862824690447,1218.59684881831,"ND"
"2015","17065","Illinois","Hamilton County",7993,3817163,7795054,48.9690385724076,477.563242837483,"IL"
"2016","12077","Florida","Liberty County",7974,34831511,21462831,162.287589181502,4368.13531477301,"FL"
"2017","20193","Kansas","Thomas County",7930,0,17631896,0,0,"KS"
"2018","31147","Nebraska","Richardson County",7871,0,8622855,0,0,"NE"
"2019","54075","West Virginia","Pocahontas County",7869,1713800,7229503,23.7056406228755,217.791333079171,"WV"
"2020","20003","Kansas","Anderson County",7836,0,18334471,0,0,"KS"
"2021","02188","Alaska","Northwest Arctic Borough",7793,37772912,42226967,89.4521077016969,4847.03092518927,"AK"
"2022","48495","Texas","Winkler County",7791,1138094,26370836,4.31572969472792,146.078038762675,"TX"
"2023","40093","Oklahoma","Major County",7782,0,9901298,0,0,"OK"
"2024","13181","Georgia","Lincoln County",7690,6611092,12724531,51.9554866108621,859.699869960988,"GA"
